time="2023-12-25T11:33:56.521" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:33:59.523" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:33:59.523" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:02.525" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:02.525" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:05.527" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:05.527" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:08.529" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:08.529" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:11.530" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:11.531" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:14.532" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:14.532" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:17.534" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:17.534" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:20.536" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:20.536" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:23.537" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:23.537" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:26.539" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:26.539" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:29.540" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:29.540" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:32.547" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:32.547" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:35.548" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:35.548" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:38.550" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:38.550" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:41.552" level=warning msg="Resource predicate not passed, pod is not running..."
