hostname,value,timestamp,id
master,550.50602,1696272841,InSegs
master,-692.3138,1696272841,OutSegs
node_3,184.1008,1696272841,InSegs
node_3,-253.68436,1696272841,OutSegs
node_1,6.1813281,1696272841,InSegs
node_1,-70.8109397,1696272841,OutSegs
node_2,76.5146443,1696272841,InSegs
node_2,-153.1290323,1696272841,OutSegs
master,178.398286,1696272846,InSegs
master,-304.761274,1696272846,OutSegs
node_3,19.6991936,1696272846,InSegs
node_3,-90.9156318,1696272846,OutSegs
node_1,202.342562,1696272846,InSegs
node_1,-266.342566,1696272846,OutSegs
node_2,213.8711814,1696272846,InSegs
node_2,-275.6450584,1696272846,OutSegs
master,198.869214,1696272851,InSegs
master,-346.28508,1696272851,OutSegs
node_3,196.502738,1696272851,InSegs
node_3,-266.49622,1696272851,OutSegs
node_1,37.9807089,1696272851,InSegs
node_1,-104.2631567,1696272851,OutSegs
node_2,14.5288123,1696272851,InSegs
node_2,-93.5549303,1696272851,OutSegs
master,178.007482,1696272856,InSegs
master,-315.517246,1696272856,OutSegs
node_3,22.1130428,1696272856,InSegs
node_3,-94.6025128,1696272856,OutSegs
node_1,157.2767314,1696272856,InSegs
node_1,-221.594292,1696272856,OutSegs
node_2,190.113144,1696272856,InSegs
node_2,-267.913158,1696272856,OutSegs
master,1535.399894,1696272861,InSegs
master,-1677.18352,1696272861,OutSegs
node_3,176.7842038,1696272861,InSegs
node_3,-245.901272,1696272861,OutSegs
node_1,53.341998,1696272861,InSegs
node_1,-119.8565,1696272861,OutSegs
node_2,25.5806006,1696272861,InSegs
node_2,-105.910924,1696272861,OutSegs
master,180.556598,1696272866,InSegs
master,-343.923646,1696272866,OutSegs
node_3,46.234026,1696272866,InSegs
node_3,-119.82762,1696272866,OutSegs
node_1,149.0579884,1696272866,InSegs
node_1,-204.9435016,1696272866,OutSegs
node_2,175.10624,1696272866,InSegs
node_2,-249.775918,1696272866,OutSegs
master,193.657024,1696272871,InSegs
master,-340.666028,1696272871,OutSegs
node_3,148.7659814,1696272871,InSegs
node_3,-213.972378,1696272871,OutSegs
node_1,151.848579,1696272871,InSegs
node_1,-213.5061698,1696272871,OutSegs
node_2,45.91178,1696272871,InSegs
node_2,-128.2248,1696272871,OutSegs
master,288.74618,1696272876,InSegs
master,-416.51804,1696272876,OutSegs
node_3,53.599998,1696272876,InSegs
node_3,-127.200004,1696272876,OutSegs
node_1,49.1514238,1696272876,InSegs
node_1,-112.4938428,1696272876,OutSegs
node_2,160.401238,1696272876,InSegs
node_2,-235.08819,1696272876,OutSegs
master,575.56062,1696272881,InSegs
master,-735.4256,1696272881,OutSegs
node_3,173.1999838,1696272881,InSegs
node_3,-237.599986,1696272881,OutSegs
node_1,192.221382,1696272881,InSegs
node_1,-254.1345,1696272881,OutSegs
node_2,53.8869869,1696272881,InSegs
node_2,-136.4869879,1696272881,OutSegs
master,151.042156,1696272886,InSegs
master,-275.505896,1696272886,OutSegs
node_3,97.12135,1696272886,InSegs
node_3,-174.234206,1696272886,OutSegs
node_1,21.6600196,1696272886,InSegs
node_1,-87.4873456,1696272886,OutSegs
node_2,144.99999,1696272886,InSegs
node_2,-216.799998,1696272886,OutSegs
master,1473.37336,1696272891,InSegs
master,-1654.1406,1696272891,OutSegs
node_3,150.6786452,1696272891,InSegs
node_3,-209.9657808,1696272891,OutSegs
node_1,213.318604,1696272891,InSegs
node_1,-275.578138,1696272891,OutSegs
node_2,54.5131367,1696272891,InSegs
node_2,-136.7131294,1696272891,OutSegs
master,376.9148,1696272896,InSegs
master,-487.65044,1696272896,OutSegs
node_3,158.6092133,1696272896,InSegs
node_3,-230.5904793,1696272896,OutSegs
node_1,39.0735882,1696272896,InSegs
node_1,-105.27124,1696272896,OutSegs
node_2,151.88687,1696272896,InSegs
node_2,-227.686858,1696272896,OutSegs
master,254.508562,1696272901,InSegs
master,-393.89621,1696272901,OutSegs
node_3,36.7907865,1696272901,InSegs
node_3,-107.4095273,1696272901,OutSegs
node_1,250.5264152,1696272901,InSegs
node_1,-300.928746,1696272901,OutSegs
node_2,123.384068,1696272901,InSegs
node_2,-203.120326,1696272901,OutSegs
master,180.53628,1696272906,InSegs
master,-320.804532,1696272906,OutSegs
node_3,187.666556,1696272906,InSegs
node_3,-256.060466,1696272906,OutSegs
node_1,54,1696272906,InSegs
node_1,-120.999996,1696272906,OutSegs
node_2,72.1289288,1696272906,InSegs
node_2,-149.7926794,1696272906,OutSegs
master,158.910238,1696272911,InSegs
master,-303.241976,1696272911,OutSegs
node_3,29.5180817,1696272911,InSegs
node_3,-102.2074709,1696272911,OutSegs
node_1,146.5999906,1696272911,InSegs
node_1,-206.6000036,1696272911,OutSegs
node_2,172.8378973,1696272911,InSegs
node_2,-253.1753153,1696272911,OutSegs
master,226.10458,1696272916,InSegs
master,-390.02242,1696272916,OutSegs
node_3,167.8153762,1696272916,InSegs
node_3,-234.932068,1696272916,OutSegs
node_1,159.403612,1696272916,InSegs
node_1,-223.77495,1696272916,OutSegs
node_2,29.6491021,1696272916,InSegs
node_2,-108.5116759,1696272916,OutSegs
master,1504.28062,1696272921,InSegs
master,-1654.68822,1696272921,OutSegs
node_3,46.319158,1696272921,InSegs
node_3,-119.81578,1696272921,OutSegs
node_1,52.5963962,1696272921,InSegs
node_1,-116.2250406,1696272921,OutSegs
node_2,201.01562,1696272921,InSegs
node_2,-279.04158,1696272921,OutSegs
master,237.042702,1696272926,InSegs
master,-410.82802,1696272926,OutSegs
node_3,154.4808218,1696272926,InSegs
node_3,-221.984212,1696272926,OutSegs
node_1,183.19348,1696272926,InSegs
node_1,-246.021342,1696272926,OutSegs
node_2,7.784395,1696272926,InSegs
node_2,-87.7584196,1696272926,OutSegs
master,160.927478,1696272931,InSegs
master,-298.87496,1696272931,OutSegs
node_3,52.564632,1696272931,InSegs
node_3,-125.76462,1696272931,OutSegs
node_1,21.4596257,1696272931,InSegs
node_1,-87.3147373,1696272931,OutSegs
node_2,186.51302,1696272931,InSegs
node_2,-266.11302,1696272931,OutSegs
master,198.02573,1696272936,InSegs
master,-370.12925,1696272936,OutSegs
node_3,140.2353752,1696272936,InSegs
node_3,-208.035372,1696272936,OutSegs
node_1,176.146913,1696272936,InSegs
node_1,-240.46393,1696272936,OutSegs
node_2,32.6402666,1696272936,InSegs
node_2,-113.8242162,1696272936,OutSegs
master,174.518488,1696272941,InSegs
master,-315.441948,1696272941,OutSegs
node_3,71.873562,1696272941,InSegs
node_3,-147.811058,1696272941,OutSegs
node_1,40.41749,1696272941,InSegs
node_1,-106.38708,1696272941,OutSegs
node_2,166.4467178,1696272941,InSegs
node_2,-244.06276,1696272941,OutSegs
master,234.20728,1696272946,InSegs
master,-402.826348,1696272946,OutSegs
node_3,132.8747554,1696272946,InSegs
node_3,-199.1372744,1696272946,OutSegs
node_1,159.5250492,1696272946,InSegs
node_1,-218.955456,1696272946,OutSegs
node_2,48.746252,1696272946,InSegs
node_2,-131.85944,1696272946,OutSegs
master,180.951138,1696272951,InSegs
master,-330.06661,1696272951,OutSegs
