hostname,value,timestamp,id
master,308.321228,1696165986,InSegs
master,-395.096838,1696165986,OutSegs
node_3,174.881922,1696165986,InSegs
node_3,-243.604966,1696165986,OutSegs
node_2,53.6383774,1696165986,InSegs
node_2,-136.2987394,1696165986,OutSegs
node_1,156.985395,1696165986,InSegs
node_1,-221.482639,1696165986,OutSegs
master,120.185544,1696165991,InSegs
master,-224.621208,1696165991,OutSegs
node_3,48.996148,1696165991,InSegs
node_3,-121.63602,1696165991,OutSegs
node_2,138.4225086,1696165991,InSegs
node_2,-214.762134,1696165991,OutSegs
node_1,66.162894,1696165991,InSegs
node_1,-133.392648,1696165991,OutSegs
master,202.595526,1696165996,InSegs
master,-327.87729,1696165996,OutSegs
node_3,150.0038538,1696165996,InSegs
node_3,-217.963966,1696165996,OutSegs
node_2,54,1696165996,InSegs
node_2,-137.200008,1696165996,OutSegs
node_1,129.2371038,1696165996,InSegs
node_1,-189.00737,1696165996,OutSegs
master,193.939134,1696166001,InSegs
master,-304.91312,1696166001,OutSegs
node_3,55.399998,1696166001,InSegs
node_3,-127.800008,1696166001,OutSegs
node_2,153.4000082,1696166001,InSegs
node_2,-231.6000094,1696166001,OutSegs
node_1,137.9076917,1696166001,InSegs
node_1,-204.6756017,1696166001,OutSegs
master,203.670762,1696166006,InSegs
master,-320.108654,1696166006,OutSegs
node_3,146.7999972,1696166006,InSegs
node_3,-216.0000036,1696166006,OutSegs
node_2,143.0418788,1696166006,InSegs
node_2,-224.6883926,1696166006,OutSegs
node_1,68.6923022,1696166006,InSegs
node_1,-133.12441,1696166006,OutSegs
master,188.155058,1696166011,InSegs
master,-299.78608,1696166011,OutSegs
node_3,137.716026,1696166011,InSegs
node_3,-209.517226,1696166011,OutSegs
node_2,55.3581153,1696166011,InSegs
node_2,-135.7116035,1696166011,OutSegs
node_1,188.685432,1696166011,InSegs
node_1,-251.793972,1696166011,OutSegs
master,347.112192,1696166016,InSegs
master,-483.72304,1696166016,OutSegs
node_3,84.6839869,1696166016,InSegs
node_3,-154.2827827,1696166016,OutSegs
node_2,157.8384286,1696166016,InSegs
node_2,-239.4744006,1696166016,OutSegs
node_1,7.9145675,1696166016,InSegs
node_1,-72.206017,1696166016,OutSegs
master,207.49208,1696166021,InSegs
master,-334.951018,1696166021,OutSegs
node_3,193.67578,1696166021,InSegs
node_3,-264.27508,1696166021,OutSegs
node_2,46.3009332,1696166021,InSegs
node_2,-126.0043026,1696166021,OutSegs
node_1,196.0000088,1696166021,InSegs
node_1,-257.2000012,1696166021,OutSegs
master,132.807558,1696166026,InSegs
master,-245.622578,1696166026,OutSegs
node_3,8.7242113,1696166026,InSegs
node_3,-79.524929,1696166026,OutSegs
node_2,192.722252,1696166026,InSegs
node_2,-272.340584,1696166026,OutSegs
node_1,29.916552,1696166026,InSegs
node_1,-95.054418,1696166026,OutSegs
master,251.348228,1696166031,InSegs
master,-382.561762,1696166031,OutSegs
node_3,200.000006,1696166031,InSegs
node_3,-271.400002,1696166031,OutSegs
node_2,6.1384051,1696166031,InSegs
node_2,-87.5807037,1696166031,OutSegs
node_1,176.08345,1696166031,InSegs
node_1,-239.54557,1696166031,OutSegs
master,319.282468,1696166036,InSegs
master,-429.92986,1696166036,OutSegs
node_3,34.76451,1696166036,InSegs
node_3,-107.15984,1696166036,OutSegs
node_2,195.199986,1696166036,InSegs
node_2,-275.39997,1696166036,OutSegs
node_1,52.8,1696166036,InSegs
node_1,-119.800002,1696166036,OutSegs
master,179.184082,1696166041,InSegs
master,-310.502254,1696166041,OutSegs
node_3,163.7552196,1696166041,InSegs
node_3,-232.35989,1696166041,OutSegs
node_2,35.036654,1696166041,InSegs
node_2,-117.12802,1696166041,OutSegs
node_1,141.702732,1696166041,InSegs
node_1,-204.902757,1696166041,OutSegs
master,163.661842,1696166046,InSegs
master,-267.520132,1696166046,OutSegs
node_3,53.8802717,1696166046,InSegs
node_3,-127.8802717,1696166046,OutSegs
node_2,166.7633374,1696166046,InSegs
node_2,-246.871978,1696166046,OutSegs
node_1,125.4946176,1696166046,InSegs
node_1,-190.2489812,1696166046,OutSegs
master,225.349722,1696166051,InSegs
master,-355.0907,1696166051,OutSegs
node_3,158.799987,1696166051,InSegs
node_3,-228.5999916,1696166051,OutSegs
node_2,48.422062,1696166051,InSegs
node_2,-131.1008,1696166051,OutSegs
node_1,79.2026357,1696166051,InSegs
node_1,-141.6482923,1696166051,OutSegs
master,277.58436,1696166056,InSegs
master,-400.73258,1696166056,OutSegs
node_3,132.239114,1696166056,InSegs
node_3,-204.959678,1696166056,OutSegs
node_2,158.777945,1696166056,InSegs
node_2,-238.89919,1696166056,OutSegs
node_1,189.557518,1696166056,InSegs
node_1,-250.968764,1696166056,OutSegs
master,146.782894,1696166061,InSegs
master,-264.716568,1696166061,OutSegs
node_3,69.9608754,1696166061,InSegs
node_3,-139.84032,1696166061,OutSegs
node_2,54.399994,1696166061,InSegs
node_2,-136.8,1696166061,OutSegs
node_1,9.6424722,1696166061,InSegs
node_1,-74.4312282,1696166061,OutSegs
master,284.838604,1696166066,InSegs
master,-418.716328,1696166066,OutSegs
node_3,197.18925,1696166066,InSegs
node_3,-270.348704,1696166066,OutSegs
node_2,153.3999968,1696166066,InSegs
node_2,-231.400014,1696166066,OutSegs
node_1,197.2000048,1696166066,InSegs
node_1,-265.5999966,1696166066,OutSegs
master,80.7054016,1696166071,InSegs
master,-174.0873168,1696166071,OutSegs
node_3,10.8107491,1696166071,InSegs
node_3,-81.4512965,1696166071,OutSegs
node_2,55.39617,1696166071,InSegs
node_2,-138.73579,1696166071,OutSegs
node_1,29.593474,1696166071,InSegs
node_1,-94.833424,1696166071,OutSegs
master,276.355408,1696166076,InSegs
master,-412.04908,1696166076,OutSegs
node_3,198.80001,1696166076,InSegs
node_3,-269.600004,1696166076,OutSegs
node_2,149.603823,1696166076,InSegs
node_2,-227.2642098,1696166076,OutSegs
node_1,167.606528,1696166076,InSegs
node_1,-230.3665687,1696166076,OutSegs
master,80.6662322,1696166081,InSegs
master,-173.4062568,1696166081,OutSegs
node_3,29.5505767,1696166081,InSegs
node_3,-101.5875387,1696166081,OutSegs
node_2,149.838918,1696166081,InSegs
node_2,-232.02041,1696166081,OutSegs
node_1,52.8000004,1696166081,InSegs
node_1,-119.600002,1696166081,OutSegs
master,246.428102,1696166086,InSegs
master,-380.946798,1696166086,OutSegs
node_3,173.8494236,1696166086,InSegs
node_3,-244.012458,1696166086,OutSegs
node_2,52.7610824,1696166086,InSegs
node_2,-133.3795866,1696166086,OutSegs
node_1,162.599991,1696166086,InSegs
node_1,-225.599998,1696166086,OutSegs
master,133.292518,1696166091,InSegs
master,-229.535304,1696166091,OutSegs
node_3,51.635392,1696166091,InSegs
node_3,-124.03538,1696166091,OutSegs
node_2,191.3174234,1696166091,InSegs
node_2,-274.4146794,1696166091,OutSegs
node_1,124.9099606,1696166091,InSegs
node_1,-190.1721406,1696166091,OutSegs
master,390.625012,1696166096,InSegs
master,-521.782224,1696166096,OutSegs
node_3,150.7646292,1696166096,InSegs
node_3,-220.364624,1696166096,OutSegs
node_2,7.0825703,1696166096,InSegs
node_2,-88.1853287,1696166096,OutSegs
node_1,77.6900456,1696166096,InSegs
node_1,-141.427858,1696166096,OutSegs
master,205.227772,1696166101,InSegs
master,-313.410158,1696166101,OutSegs
node_3,54.599998,1696166101,InSegs
node_3,-127.8,1696166101,OutSegs
node_2,197.20001,1696166101,InSegs
node_2,-282.599992,1696166101,OutSegs
node_1,188.28064,1696166101,InSegs
node_1,-251.19497,1696166101,OutSegs
master,131.4786,1696166106,InSegs
master,-247.696242,1696166106,OutSegs
node_3,146.7197316,1696166106,InSegs
node_3,-215.7197468,1696166106,OutSegs
node_2,23.6123578,1696166106,InSegs
node_2,-105.66652,1696166106,OutSegs
node_1,10.4222581,1696166106,InSegs
node_1,-75.1079241,1696166106,OutSegs
master,245.988298,1696166111,InSegs
master,-371.99331,1696166111,OutSegs
node_3,136.5702892,1696166111,InSegs
node_3,-207.0917372,1696166111,OutSegs
node_2,177.526988,1696166111,InSegs
node_2,-254.872832,1696166111,OutSegs
node_1,198.9998694,1696166111,InSegs
node_1,-265.399874,1696166111,OutSegs
master,91.86461,1696166116,InSegs
