4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1328.61          ---          ---        13.68305        12.67100        27.77500        46.59100       102.35 
Gets        13284.50         4.67     13279.83        13.67366        12.67100        27.77500        46.33500       517.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14613.11         4.67     13279.83        13.67451        12.67100        27.77500        46.33500       619.97 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.903        0.000
SET      11.455        5.000
SET      11.967       10.000
SET      12.159       15.000
SET      12.223       20.000
SET      12.351       25.000
SET      12.415       30.000
SET      12.479       35.000
SET      12.543       40.000
SET      12.607       45.000
SET      12.671       50.000
SET      12.735       52.500
SET      12.735       55.000
SET      12.799       57.500
SET      12.863       60.000
SET      12.927       62.500
SET      12.927       65.000
SET      13.055       67.500
SET      13.119       70.000
SET      13.183       72.500
SET      13.311       75.000
SET      13.311       76.250
SET      13.375       77.500
SET      13.439       78.750
SET      13.567       80.000
SET      13.631       81.250
SET      13.759       82.500
SET      13.887       83.750
SET      14.015       85.000
SET      14.271       86.250
SET      14.719       87.500
SET      14.911       88.125
SET      15.167       88.750
SET      15.487       89.375
SET      15.807       90.000
SET      16.255       90.625
SET      16.895       91.250
SET      17.919       91.875
SET      19.583       92.500
SET      21.503       93.125
SET      22.911       93.750
SET      23.295       94.062
SET      23.679       94.375
SET      23.935       94.688
SET      24.191       95.000
SET      24.447       95.312
SET      24.575       95.625
SET      24.703       95.938
SET      24.831       96.250
SET      25.087       96.562
SET      25.215       96.875
SET      25.215       97.031
SET      25.343       97.188
SET      25.471       97.344
SET      25.599       97.500
SET      25.599       97.656
SET      25.727       97.812
SET      25.855       97.969
SET      26.111       98.125
SET      26.239       98.281
SET      26.495       98.438
SET      26.623       98.516
SET      26.751       98.594
SET      26.879       98.672
SET      27.007       98.750
SET      27.263       98.828
SET      27.519       98.906
SET      27.775       98.984
SET      28.159       99.062
SET      28.671       99.141
SET      29.311       99.219
SET      29.695       99.258
SET      30.207       99.297
SET      30.719       99.336
SET      31.103       99.375
SET      31.743       99.414
SET      32.383       99.453
SET      33.023       99.492
SET      33.791       99.531
SET      34.815       99.570
SET      35.583       99.609
SET      36.095       99.629
SET      36.863       99.648
SET      37.375       99.668
SET      37.887       99.688
SET      38.655       99.707
SET      39.167       99.727
SET      39.935       99.746
SET      40.447       99.766
SET      41.215       99.785
SET      41.983       99.805
SET      42.239       99.814
SET      42.751       99.824
SET      43.007       99.834
SET      43.519       99.844
SET      44.031       99.854
SET      44.543       99.863
SET      45.055       99.873
SET      45.567       99.883
SET      46.079       99.893
SET      46.591       99.902
SET      46.847       99.907
SET      47.359       99.912
SET      47.615       99.917
SET      48.127       99.922
SET      48.383       99.927
SET      48.639       99.932
SET      49.151       99.937
SET      49.663       99.941
SET      50.431       99.946
SET      50.943       99.951
SET      51.455       99.954
SET      51.711       99.956
SET      52.223       99.958
SET      52.479       99.961
SET      52.991       99.963
SET      53.503       99.966
SET      53.759       99.968
SET      54.271       99.971
SET      55.039       99.973
SET      55.295       99.976
SET      55.551       99.977
SET      55.807       99.978
SET      56.063       99.979
SET      56.319       99.980
SET      56.831       99.982
SET      57.087       99.983
SET      57.599       99.984
SET      58.367       99.985
SET      58.879       99.987
SET      59.391       99.988
SET      59.391       99.988
SET      59.647       99.989
SET      59.903       99.990
SET      60.415       99.990
SET      60.415       99.991
SET      60.671       99.991
SET      61.183       99.992
SET      61.951       99.993
SET      62.463       99.993
SET      62.719       99.994
SET      63.231       99.994
SET      63.487       99.995
SET      63.487       99.995
SET      64.511       99.995
SET      64.767       99.995
SET      65.023       99.996
SET      65.023       99.996
SET      65.279       99.996
SET      66.047       99.997
SET      66.047       99.997
SET      66.559       99.997
SET      67.071       99.997
SET      67.071       99.997
SET      67.071       99.998
SET      67.583       99.998
SET      68.095       99.998
SET      68.607       99.998
SET      68.607       99.998
SET      69.119       99.998
SET      70.143       99.998
SET      71.167       99.999
SET      71.167       99.999
SET      71.167       99.999
SET      71.679       99.999
SET      71.679       99.999
SET      71.679       99.999
SET      72.703       99.999
SET      72.703       99.999
SET      73.215       99.999
SET      73.215       99.999
SET      73.727       99.999
SET      73.727       99.999
SET      73.727       99.999
SET      74.239       99.999
SET      74.239       99.999
SET      74.239       99.999
SET      74.751      100.000
SET      74.751      100.000
SET      74.751      100.000
SET      74.751      100.000
SET      77.311      100.000
SET      77.311      100.000
