hostname,value,timestamp,id
master,132.1312938,1697196426,InSegs
master,-226.3020624,1697196426,OutSegs
node_3,20.0986458,1697196426,InSegs
node_3,-91.778836,1697196426,OutSegs
node_1,19.8499944,1697196426,InSegs
node_1,-85.5581182,1697196426,OutSegs
node_2,18.6666611,1697196426,InSegs
node_2,-111.1333509,1697196426,OutSegs
master,85.7812,1697196431,InSegs
master,-181.838748,1697196431,OutSegs
node_1,7.3502798,1697196431,InSegs
node_1,-74.0421616,1697196431,OutSegs
node_3,10.079725,1697196431,InSegs
node_3,-82.599536,1697196431,OutSegs
node_2,9.5999807,1697196431,InSegs
node_2,-101.7999579,1697196431,OutSegs
master,30.4585308,1697196436,InSegs
master,-122.6018974,1697196436,OutSegs
node_3,15.9596648,1697196436,InSegs
node_3,-86.4194388,1697196436,OutSegs
node_1,15.3282636,1697196436,InSegs
node_1,-78.5825312,1697196436,OutSegs
node_2,28.0000018,1697196436,InSegs
node_2,-102.8000038,1697196436,OutSegs
master,43.5720524,1697196441,InSegs
master,-118.9720218,1697196441,OutSegs
node_1,31.451315,1697196441,InSegs
node_1,-74.1427924,1697196441,OutSegs
node_3,34.1217412,1697196441,InSegs
node_3,-82.3918576,1697196441,OutSegs
node_2,9.9999997,1697196441,InSegs
node_2,-102.6000123,1697196441,OutSegs
master,23.5392308,1697196446,InSegs
master,-119.0534174,1697196446,OutSegs
node_3,33.6901264,1697196446,InSegs
node_3,-80.5002501,1697196446,OutSegs
node_1,30.7999844,1697196446,InSegs
node_1,-72.9999648,1697196446,OutSegs
node_2,24.6000165,1697196446,InSegs
node_2,-100.2000391,1697196446,OutSegs
master,26.8883356,1697196451,InSegs
master,-123.1741592,1697196451,OutSegs
node_3,23.4500961,1697196451,InSegs
node_3,-82.9100753,1697196451,OutSegs
node_1,24.2000286,1697196451,InSegs
node_1,-78.0000662,1697196451,OutSegs
node_2,13.3999882,1697196451,InSegs
node_2,-106.399976,1697196451,OutSegs
master,19.798743,1697196456,InSegs
master,-115.370506,1697196456,OutSegs
node_1,6.9999718,1697196456,InSegs
node_1,-74.1999456,1697196456,OutSegs
node_3,8.1381396,1697196456,InSegs
node_3,-81.278344,1697196456,OutSegs
node_2,5.7999989,1697196456,InSegs
node_2,-98.5999985,1697196456,OutSegs
master,37.5141776,1697196461,InSegs
master,-132.228305,1697196461,OutSegs
node_3,9.980805,1697196461,InSegs
node_3,-80.6405982,1697196461,OutSegs
node_1,9.8000068,1697196461,InSegs
node_1,-74.600022,1697196461,OutSegs
node_2,9.8000107,1697196461,InSegs
node_2,-102.0000313,1697196461,OutSegs
master,23.5731236,1697196466,InSegs
master,-119.6872434,1697196466,OutSegs
node_3,9.2810569,1697196466,InSegs
node_3,-81.4810485,1697196466,OutSegs
node_1,11.7999806,1697196466,InSegs
node_1,-77.3999638,1697196466,OutSegs
node_2,10.5999946,1697196466,InSegs
