type,k8s,tests,test-numbers,number-of-pods,metics,value
pod,k0s,cp_heavy_8client,1,16,throughput,116.410774"
pod,k0s,cp_heavy_8client,1,16,latency,1.9339411
deployment,k0s,cp_heavy_8client,1,80,throughput,250.31265
deployment,k0s,cp_heavy_8client,1,80,latency,4.9721656
pod,k0s,cp_heavy_8client,2,16,throughput,108.95554
pod,k0s,cp_heavy_8client,2,16,latency,2.1950681
deployment,k0s,cp_heavy_8client,2,80,throughput,234.91237
deployment,k0s,cp_heavy_8client,2,80,latency,5.173266
deployment,k0s,cp_heavy_8client,3,80,throughput,250.20741
deployment,k0s,cp_heavy_8client,3,80,latency,4.6300726
pod,k0s,cp_heavy_8client,3,16,throughput,113.16751
pod,k0s,cp_heavy_8client,3,16,latency,2.0938303
pod,k0s,cp_heavy_8client,4,16,throughput,121.29616
pod,k0s,cp_heavy_8client,4,16,latency,2.0118096
deployment,k0s,cp_heavy_8client,4,80,throughput,253.80031
deployment,k0s,cp_heavy_8client,4,80,latency,4.832276
pod,k0s,cp_heavy_8client,5,16,throughput,136.7218
pod,k0s,cp_heavy_8client,5,16,latency,1.8318701
deployment,k0s,cp_heavy_8client,5,80,throughput,260.96585
deployment,k0s,cp_heavy_8client,5,80,latency,4.551538
pod,k3s,cp_heavy_8client,1,16,throughput,109.803566"
pod,k3s,cp_heavy_8client,1,16,latency,2.087254
deployment,k3s,cp_heavy_8client,1,80,throughput,220.9626
deployment,k3s,cp_heavy_8client,1,80,latency,5.3653107
deployment,k3s,cp_heavy_8client,2,80,throughput,243.82883
deployment,k3s,cp_heavy_8client,2,80,latency,4.8993096
pod,k3s,cp_heavy_8client,2,16,throughput,107.1788
pod,k3s,cp_heavy_8client,2,16,latency,2.2378535
pod,k3s,cp_heavy_8client,3,16,throughput,111.265175"
pod,k3s,cp_heavy_8client,3,16,latency,1.9986115
deployment,k3s,cp_heavy_8client,3,80,throughput,238.88278
deployment,k3s,cp_heavy_8client,3,80,latency,5.005782
pod,k3s,cp_heavy_8client,4,16,throughput,120.50897
pod,k3s,cp_heavy_8client,4,16,latency,2.039019
deployment,k3s,cp_heavy_8client,4,80,throughput,240.86899
deployment,k3s,cp_heavy_8client,4,80,latency,5.0175805
pod,k3s,cp_heavy_8client,5,16,throughput,117.72648
pod,k3s,cp_heavy_8client,5,16,latency,2.0352764
deployment,k3s,cp_heavy_8client,5,80,throughput,250.48961
deployment,k3s,cp_heavy_8client,5,80,latency,4.8182673
pod,k8s,cp_heavy_8client,1,16,throughput,132.01018
pod,k8s,cp_heavy_8client,1,16,latency,2.019865
