hostname,value,timestamp,chart_family
node_2,7,1709800071,mmcblk0
node_3,4.2,1709800071,mmcblk0
master,3,1709800071,nvme0n1
master,3,1709800071,ubuntu--vg-ubuntu--lv
node_1,4,1709800071,mmcblk0
node_2,0,1709800076,mmcblk0
node_3,4.4,1709800076,mmcblk0
master,4,1709800076,nvme0n1
master,4,1709800076,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800076,mmcblk0
node_2,0.4,1709800081,mmcblk0
node_3,0,1709800081,mmcblk0
master,2.6,1709800081,nvme0n1
master,2.6,1709800081,ubuntu--vg-ubuntu--lv
node_1,0,1709800081,mmcblk0
node_2,0.4,1709800086,mmcblk0
node_3,1,1709800086,mmcblk0
master,3.2,1709800086,nvme0n1
master,3.2,1709800086,ubuntu--vg-ubuntu--lv
node_1,0.6,1709800086,mmcblk0
node_2,2.8,1709800091,mmcblk0
node_3,0.2,1709800091,mmcblk0
master,2.2,1709800091,nvme0n1
master,2.2,1709800091,ubuntu--vg-ubuntu--lv
node_1,0,1709800091,mmcblk0
node_2,1.2,1709800096,mmcblk0
node_3,0.6,1709800096,mmcblk0
master,4.2,1709800096,nvme0n1
master,4.2,1709800096,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800096,mmcblk0
node_2,0,1709800101,mmcblk0
node_3,0.2,1709800101,mmcblk0
master,1.8,1709800101,nvme0n1
master,1.8,1709800101,ubuntu--vg-ubuntu--lv
node_1,0,1709800101,mmcblk0
node_2,0,1709800106,mmcblk0
node_3,1,1709800106,mmcblk0
master,3,1709800106,nvme0n1
master,3,1709800106,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800106,mmcblk0
node_2,0,1709800111,mmcblk0
node_3,0.4,1709800111,mmcblk0
master,1.8,1709800111,nvme0n1
master,1.8,1709800111,ubuntu--vg-ubuntu--lv
node_1,0,1709800111,mmcblk0
node_2,0.2,1709800116,mmcblk0
node_3,0,1709800116,mmcblk0
master,3.2,1709800116,nvme0n1
master,3.2,1709800116,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800116,mmcblk0
node_2,1.6,1709800121,mmcblk0
node_3,0,1709800121,mmcblk0
master,2.4,1709800121,nvme0n1
master,2.4,1709800121,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800121,mmcblk0
node_2,0,1709800126,mmcblk0
node_3,0,1709800126,mmcblk0
master,3.2,1709800126,nvme0n1
master,3.2,1709800126,ubuntu--vg-ubuntu--lv
node_1,0,1709800126,mmcblk0
node_2,0,1709800131,mmcblk0
node_3,0,1709800131,mmcblk0
master,2.2,1709800131,nvme0n1
master,2.2,1709800131,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800131,mmcblk0
node_2,0.8,1709800136,mmcblk0
node_3,0.8,1709800136,mmcblk0
master,3.2,1709800136,nvme0n1
master,3.2,1709800136,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800136,mmcblk0
node_2,0,1709800141,mmcblk0
node_3,0.6,1709800141,mmcblk0
master,1.8,1709800141,nvme0n1
master,1.8,1709800141,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800141,mmcblk0
node_2,0.4,1709800146,mmcblk0
node_3,0.4,1709800146,mmcblk0
master,3,1709800146,nvme0n1
master,3,1709800146,ubuntu--vg-ubuntu--lv
node_1,0.4,1709800146,mmcblk0
node_2,0,1709800151,mmcblk0
node_3,0,1709800151,mmcblk0
master,2.4,1709800151,nvme0n1
master,2.4,1709800151,ubuntu--vg-ubuntu--lv
node_1,3.2,1709800151,mmcblk0
node_2,0,1709800156,mmcblk0
node_3,0,1709800156,mmcblk0
master,2.4,1709800156,nvme0n1
master,2.4,1709800156,ubuntu--vg-ubuntu--lv
node_1,0.4,1709800156,mmcblk0
node_2,6,1709800161,mmcblk0
node_3,6.4,1709800161,mmcblk0
master,2.2,1709800161,nvme0n1
master,2.2,1709800161,ubuntu--vg-ubuntu--lv
node_1,0,1709800161,mmcblk0
node_2,0.4,1709800166,mmcblk0
node_3,0.2,1709800166,mmcblk0
master,3,1709800166,nvme0n1
master,3,1709800166,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800166,mmcblk0
node_2,0,1709800171,mmcblk0
node_3,0.6,1709800171,mmcblk0
master,2.4,1709800171,nvme0n1
master,2.4,1709800171,ubuntu--vg-ubuntu--lv
node_1,0,1709800171,mmcblk0
node_2,0,1709800176,mmcblk0
node_3,1.4,1709800176,mmcblk0
master,2.6,1709800176,nvme0n1
master,2.6,1709800176,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800176,mmcblk0
node_2,0.4,1709800181,mmcblk0
node_3,0,1709800181,mmcblk0
master,3,1709800181,nvme0n1
master,3,1709800181,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800181,mmcblk0
node_2,0,1709800186,mmcblk0
node_3,0,1709800186,mmcblk0
master,3,1709800186,nvme0n1
master,3,1709800186,ubuntu--vg-ubuntu--lv
node_1,0,1709800186,mmcblk0
node_2,1.6,1709800191,mmcblk0
node_3,0,1709800191,mmcblk0
master,1.6,1709800191,nvme0n1
master,1.6,1709800191,ubuntu--vg-ubuntu--lv
node_1,0,1709800191,mmcblk0
node_2,0.4,1709800196,mmcblk0
node_3,0,1709800196,mmcblk0
master,3.4,1709800196,nvme0n1
master,3.4,1709800196,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800196,mmcblk0
node_2,0,1709800201,mmcblk0
node_3,0.8,1709800201,mmcblk0
master,2.6,1709800201,nvme0n1
master,2.6,1709800201,ubuntu--vg-ubuntu--lv
node_1,0.2,1709800201,mmcblk0
