4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1214.86          ---          ---        14.92918         9.98300        90.11100       209.91900        93.59 
Gets        12147.04         4.17     12142.87        14.94667         9.98300        91.13500       209.91900       473.30 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      13361.90         4.17     12142.87        14.94508         9.98300        91.13500       209.91900       566.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.175        0.000
SET       3.487        5.000
SET       5.311       10.000
SET       6.943       15.000
SET       7.839       20.000
SET       8.447       25.000
SET       8.767       30.000
SET       9.023       35.000
SET       9.151       40.000
SET       9.343       45.000
SET       9.983       50.000
SET      10.559       52.500
SET      11.327       55.000
SET      12.223       57.500
SET      13.055       60.000
SET      13.823       62.500
SET      14.847       65.000
SET      15.807       67.500
SET      16.511       70.000
SET      17.023       72.500
SET      17.407       75.000
SET      17.919       76.250
SET      18.431       77.500
SET      19.071       78.750
SET      19.711       80.000
SET      20.351       81.250
SET      20.735       82.500
SET      21.119       83.750
SET      21.503       85.000
SET      22.015       86.250
SET      22.911       87.500
SET      23.551       88.125
SET      24.191       88.750
SET      24.831       89.375
SET      25.343       90.000
SET      25.855       90.625
SET      26.751       91.250
SET      27.647       91.875
SET      28.671       92.500
SET      29.439       93.125
SET      30.335       93.750
SET      30.847       94.062
SET      31.487       94.375
SET      32.127       94.688
SET      32.767       95.000
SET      33.535       95.312
SET      34.303       95.625
SET      35.583       95.938
SET      36.863       96.250
SET      38.143       96.562
SET      39.679       96.875
SET      40.703       97.031
SET      41.727       97.188
SET      42.751       97.344
SET      44.287       97.500
SET      46.335       97.656
SET      48.639       97.812
SET      50.943       97.969
SET      54.015       98.125
SET      58.111       98.281
SET      62.975       98.438
SET      65.279       98.516
SET      68.095       98.594
SET      71.679       98.672
SET      75.775       98.750
SET      79.871       98.828
SET      83.967       98.906
SET      89.087       98.984
SET      94.207       99.062
SET      99.327       99.141
SET     105.471       99.219
SET     108.031       99.258
SET     111.103       99.297
SET     114.175       99.336
SET     116.735       99.375
SET     119.807       99.414
SET     122.879       99.453
SET     126.463       99.492
SET     130.047       99.531
SET     134.143       99.570
SET     138.239       99.609
SET     141.311       99.629
SET     143.359       99.648
SET     146.431       99.668
SET     149.503       99.688
SET     153.599       99.707
SET     156.671       99.727
SET     160.767       99.746
SET     165.887       99.766
SET     169.983       99.785
SET     176.127       99.805
SET     180.223       99.814
SET     182.271       99.824
SET     185.343       99.834
SET     188.415       99.844
SET     192.511       99.854
SET     195.583       99.863
SET     198.655       99.873
SET     202.751       99.883
SET     207.871       99.893
SET     211.967       99.902
SET     212.991       99.907
SET     215.039       99.912
SET     216.063       99.917
SET     219.135       99.922
SET     221.183       99.927
SET     223.231       99.932
SET     226.303       99.937
SET     229.375       99.941
SET     232.447       99.946
SET     235.519       99.951
SET     237.567       99.954
SET     239.615       99.956
SET     241.663       99.958
SET     243.711       99.961
SET     244.735       99.963
SET     245.759       99.966
SET     247.807       99.968
SET     251.903       99.971
SET     253.951       99.973
SET     258.047       99.976
SET     259.071       99.977
SET     260.095       99.978
SET     261.119       99.979
SET     262.143       99.980
SET     264.191       99.982
SET     266.239       99.983
SET     266.239       99.984
SET     268.287       99.985
SET     272.383       99.987
SET     274.431       99.988
SET     276.479       99.988
SET     278.527       99.989
SET     280.575       99.990
SET     282.623       99.990
SET     286.719       99.991
SET     286.719       99.991
SET     288.767       99.992
SET     290.815       99.993
SET     290.815       99.993
SET     294.911       99.994
SET     296.959       99.994
SET     299.007       99.995
SET     301.055       99.995
SET     305.151       99.995
SET     307.199       99.995
SET     307.199       99.996
SET     309.247       99.996
SET     311.295       99.996
SET     313.343       99.997
SET     313.343       99.997
SET     313.343       99.997
SET     315.391       99.997
SET     321.535       99.997
SET     321.535       99.998
SET     323.583       99.998
SET     335.871       99.998
SET     335.871       99.998
SET     339.967       99.998
SET     339.967       99.998
SET     346.111       99.998
SET     346.111       99.999
SET     346.111       99.999
SET     348.159       99.999
SET     348.159       99.999
SET     348.159       99.999
SET     350.207       99.999
SET     350.207       99.999
SET     352.255       99.999
SET     352.255       99.999
SET     354.303       99.999
SET     354.303       99.999
SET     354.303       99.999
SET     356.351       99.999
SET     356.351       99.999
SET     356.351       99.999
SET     358.399       99.999
SET     358.399      100.000
SET     358.399      100.000
SET     358.399      100.000
SET     358.399      100.000
SET     358.399      100.000
SET     358.399      100.000
SET     358.399      100.000
SET     358.399      100.000
SET     358.399      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     360.447      100.000
SET     380.927      100.000
SET     380.927      100.000
---
GET       0.159        0.000
GET       3.487        5.000
GET       5.311       10.000
GET       6.943       15.000
GET       7.871       20.000
GET       8.447       25.000
GET       8.831       30.000
GET       9.023       35.000
GET       9.151       40.000
GET       9.343       45.000
GET       9.983       50.000
