hostname,value,timestamp,id
master,202.219102,1695925576,InSegs
master,-331.98538,1695925576,OutSegs
node_3,193.59999,1695925576,InSegs
node_3,-268.599994,1695925576,OutSegs
node_2,22.5222354,1695925576,InSegs
node_2,-101.6085312,1695925576,OutSegs
node_1,193.090018,1695925576,InSegs
node_1,-258.345426,1695925576,OutSegs
master,165.268968,1695925581,InSegs
master,-292.468468,1695925581,OutSegs
node_3,34.07695,1695925581,InSegs
node_3,-107.24152,1695925581,OutSegs
node_1,9.3099725,1695925581,InSegs
node_1,-74.8545645,1695925581,OutSegs
node_2,181.329664,1695925581,InSegs
node_2,-262.700026,1695925581,OutSegs
master,204.552118,1695925586,InSegs
master,-339.798628,1695925586,OutSegs
node_3,159.7230476,1695925586,InSegs
node_3,-232.358476,1695925586,OutSegs
node_2,48.598926,1695925586,InSegs
node_2,-113.51496,1695925586,OutSegs
node_1,207.34451,1695925586,InSegs
node_1,-261.144516,1695925586,OutSegs
master,131.592918,1695925591,InSegs
master,-257.432644,1695925591,OutSegs
node_3,53.132092,1695925591,InSegs
node_3,-127.7321,1695925591,OutSegs
node_2,165.5154926,1695925591,InSegs
node_2,-243.1994466,1695925591,OutSegs
node_1,36.8029997,1695925591,InSegs
node_1,-102.9722257,1695925591,OutSegs
master,217.693766,1695925596,InSegs
master,-349.786998,1695925596,OutSegs
node_3,147.9198462,1695925596,InSegs
node_3,-218.91983,1695925596,OutSegs
node_1,156.6524876,1695925596,InSegs
node_1,-223.083266,1695925596,OutSegs
node_2,52.5219474,1695925596,InSegs
node_2,-134.0075354,1695925596,OutSegs
master,134.220046,1695925601,InSegs
master,-256.506644,1695925601,OutSegs
node_3,55.1480725,1695925601,InSegs
node_3,-129.3480705,1695925601,OutSegs
node_2,144.3636309,1695925601,InSegs
node_2,-219.6780469,1695925601,OutSegs
node_1,52.846588,1695925601,InSegs
node_1,-120.04658,1695925601,OutSegs
master,204.228198,1695925606,InSegs
master,-340.33497,1695925606,OutSegs
node_3,148.525925,1695925606,InSegs
node_3,-220.0518444,1695925606,OutSegs
node_2,54.6,1695925606,InSegs
node_2,-136.199984,1695925606,OutSegs
node_1,144.3534298,1695925606,InSegs
node_1,-209.7534228,1695925606,OutSegs
master,189.62835,1695925611,InSegs
master,-317.810192,1695925611,OutSegs
node_3,138.2630911,1695925611,InSegs
node_3,-211.3811102,1695925611,OutSegs
node_2,150.4000025,1695925611,InSegs
node_2,-227.6000149,1695925611,OutSegs
node_1,149.649004,1695925611,InSegs
node_1,-214.175356,1695925611,OutSegs
master,155.25457,1695925616,InSegs
master,-287.466334,1695925616,OutSegs
node_3,59.610989,1695925616,InSegs
node_3,-132.767036,1695925616,OutSegs
node_2,133.637318,1695925616,InSegs
node_2,-214.236364,1695925616,OutSegs
node_1,47.7509967,1695925616,InSegs
node_1,-112.0246429,1695925616,OutSegs
master,243.30004,1695925621,InSegs
